year,zone,sex,age_group,population,hypertension_count,prevalence_rate
2000-01-01T00:00:00.000,Zone 4 - Central,F,20 to 29,30198,367,1.22
2000-01-01T00:00:00.000,Zone 4 - Central,F,30 to 39,34639,1473,4.25
2000-01-01T00:00:00.000,Zone 4 - Central,F,40 to 49,32980,3497,10.60
2000-01-01T00:00:00.000,Zone 4 - Central,F,50 to 59,24173,6527,27.00
2000-01-01T00:00:00.000,Zone 4 - Central,F,60 to 69,14990,6828,45.55
2000-01-01T00:00:00.000,Zone 4 - Central,F,70 to 79,12052,7341,60.91
2000-01-01T00:00:00.000,Zone 4 - Central,F,80 +,8411,5548,65.96
2000-01-01T00:00:00.000,Zone 4 - Central,M,20 to 29,28067,304,1.08
2000-01-01T00:00:00.000,Zone 4 - Central,M,30 to 39,31448,1315,4.18
2000-01-01T00:00:00.000,Zone 4 - Central,M,40 to 49,30424,3197,10.51
2000-01-01T00:00:00.000,Zone 4 - Central,M,50 to 59,22981,5587,24.31
2000-01-01T00:00:00.000,Zone 4 - Central,M,60 to 69,14044,5749,40.94
2000-01-01T00:00:00.000,Zone 4 - Central,M,70 to 79,8889,4784,53.82
2000-01-01T00:00:00.000,Zone 4 - Central,M,80 +,4006,2279,56.89
2000-01-01T00:00:00.000,Zone 3 - Eastern,F,20 to 29,10667,194,1.82
2000-01-01T00:00:00.000,Zone 3 - Eastern,F,30 to 39,12657,779,6.15
2000-01-01T00:00:00.000,Zone 3 - Eastern,F,40 to 49,15258,2196,14.39
2000-01-01T00:00:00.000,Zone 3 - Eastern,F,50 to 59,12308,3899,31.68
2000-01-01T00:00:00.000,Zone 3 - Eastern,F,60 to 69,8521,4091,48.01
2000-01-01T00:00:00.000,Zone 3 - Eastern,F,70 to 79,6858,4278,62.38
2000-01-01T00:00:00.000,Zone 3 - Eastern,F,80 +,5643,3608,63.94
2000-01-01T00:00:00.000,Zone 3 - Eastern,M,20 to 29,10920,166,1.52
2000-01-01T00:00:00.000,Zone 3 - Eastern,M,30 to 39,12412,683,5.50
2000-01-01T00:00:00.000,Zone 3 - Eastern,M,40 to 49,15102,2017,13.36
2000-01-01T00:00:00.000,Zone 3 - Eastern,M,50 to 59,12773,3436,26.90
2000-01-01T00:00:00.000,Zone 3 - Eastern,M,60 to 69,8292,3436,41.44
